close,datetime,datetimeISO8601,high,low,open,volume
120.49,1120539600000,,120.65,119.19,119.25,51549000
119.48,1120626000000,,120.65,119.41,120.39,52363600
119.95,1120712400000,,119.95,118.26,118.29,103268800
121.32,1120798800000,,121.32,119.72,119.97,64491200
121.94,1121058000000,,122.1,121.31,121.33,49688300
122.26,1121144400000,,122.63,121.64,121.99,51871100
122.43,1121230800000,,122.52,121.99,122.27,41182300
122.91,1121317200000,,123.44,122.49,122.98,63638800
122.84,1121403600000,,123.04,122.36,122.79,56075900
122.35,1121662800000,,122.63,122.05,122.5,56598400
123.02,1121749200000,,123.11,122.41,122.71,59165700
123.44,1121835600000,,123.73,122.3,122.59,69477000
122.72,1121922000000,,123.61,122.47,123.55,101110896
123.54,1122008400000,,123.56,122.63,122.88,52607100
123.19,1122267600000,,123.95,122.85,123.41,57301600
123.34,1122354000000,,123.53,122.95,123.23,42758800
123.79,1122440400000,,123.89,123.05,123.5,43181600
124.57,1122526800000,,124.64,123.64,123.96,47880700
123.74,1122613200000,,124.63,123.5,124.41,62358100
123.65,1122872400000,,124.04,123.45,123.83,40418200
124.39,1122958800000,,124.6,123.74,123.87,45147400
124.72,1123045200000,,124.74,124.12,124.25,36837200
123.72,1123131600000,,124.31,123.57,124.23,50855600
122.88,1123218000000,,123.98,122.67,123.45,53595500
122.65,1123477200000,,123.41,122.38,123.15,47616000
123.39,1123563600000,,123.59,122.87,123.06,47170000
123.33,1123650000000,,124.5,122.82,123.82,72863696
123.82,1123736400000,,124.03,123.01,123.27,58570200
123.06,1123822800000,,123.69,122.75,123.57,54776900
123.82,1124082000000,,123.87,122.83,123.22,36208500
122.21,1124168400000,,123.52,122.09,123.44,71942096
122.2,1124254800000,,122.87,122.03,122.19,62275100
122.19,1124341200000,,122.56,121.84,122.05,53388600
122.47,1124427600000,,122.82,122.2,122.63,39842100
122.47,1124686800000,,123.23,121.88,122.58,69912000
122.24,1124773200000,,122.61,121.15,122.5,55168600
121.15,1124859600000,,122.73,121.09,121.94,79104600
121.59,1124946000000,,121.67,121.21,121.35,35631100
120.76,1125032400000,,121.49,120.68,121.48,61956800
121.69,1125291600000,,121.78,120.38,120.41,56179200
121.05,1125378000000,,121.3,120.39,121.25,74160200
122.58,1125464400000,,122.66,120.74,121.19,102945200
122.49,1125550800000,,123.15,121.14,122.52,74578704
122.27,1125637200000,,122.88,122.04,122.85,47653400
123.7,1125982800000,,123.8,122.65,122.66,57251300
123.91,1126069200000,,124.13,123.46,123.63,41749700
123.5,1126155600000,,124.0,123.31,123.66,39068700
124.6,1126242000000,,124.74,123.8,123.83,43093900
124.35,1126501200000,,124.67,124.27,124.45,33017600
123.66,1126587600000,,124.42,123.52,124.13,58427500
123.21,1126674000000,,123.92,123.02,123.74,57694600
123.15,1126760400000,,123.65,122.9,123.5,73156896
123.5,1126846800000,,123.74,122.87,123.3,75424096
123.09,1127106000000,,123.55,122.64,123.47,53355300
122.05,1127192400000,,123.61,121.87,123.2,84480304
120.91,1127278800000,,121.87,120.78,121.79,94469104
121.34,1127365200000,,121.66,120.44,120.95,84597200
121.44,1127451600000,,121.89,120.9,121.24,59368100
121.58,1127710800000,,122.24,121.08,122.02,70415400
121.55,1127797200000,,121.99,121.02,121.52,66150800
121.67,1127883600000,,122.12,121.2,121.93,58620500
122.66,1127970000000,,122.86,121.08,121.55,66607700
123.04,1128056400000,,123.04,121.74,122.62,47824200
122.6,1128315600000,,123.34,122.45,122.96,50994800
121.22,1128402000000,,123.03,121.16,122.79,60776300
119.63,1128488400000,,121.31,119.57,121.25,106052096
119.2,1128574800000,,120.26,118.17,119.78,140941790
119.61,1128661200000,,120.05,119.13,119.7,75661400
118.6,1128920400000,,119.71,118.3,119.68,52677000
118.43,1129006800000,,119.39,118.32,118.99,75629800
117.5,1129093200000,,119.13,117.41,118.39,100510400
117.43,1129179600000,,118.08,116.88,117.46,99052896
118.67,1129266000000,,118.81,117.56,118.12,88651000
119.11,1129525200000,,119.27,118.45,118.8,68109296
117.82,1129611600000,,118.96,117.8,118.94,74996896
119.78,1129698000000,,119.8,117.12,117.5,116563800
117.67,1129784400000,,119.81,117.3,119.49,131966704
118.13,1129870800000,,118.78,117.51,118.29,96579504
119.96,1130130000000,,120.09,118.41,118.44,71308400
119.72,1130216400000,,120.24,118.94,119.72,76594496
119.37,1130302800000,,120.54,119.19,119.51,80855800
118.1,1130389200000,,119.37,117.93,119.2,66623100
119.8,1130475600000,,119.95,118.1,118.43,72322000
120.13,1130738400000,,121.3,120.13,120.33,80153200
120.49,1130824800000,,120.9,120.22,120.58,66365100
121.75,1130911200000,,121.75,120.13,120.17,74012304
122.27,1130997600000,,122.66,121.75,122.15,84897600
122.11,1131084000000,,122.46,121.55,122.4,59156000
